STRAIN	AATT01000295.1	AATT01000296.1	AATT01000297.1	AATT01000298.1	AATT01000299.1	AATT01000300.1	AATT01000301.1	AATT01000302.1	AATT01000303.1	AATT01000306.1	AATT01000307.1	AATT01000308.1	AATT01000309.1	AATT01000310.1	AATT01000314.1	AATT01000315.1	AATT01000316.1	AATT01000317.1	AATT01000318.1	AATT01000319.1	AATT01000320.1	AATT01000321.1	AATT01000322.1	AATT01000323.1	AATT01000324.1	AATT01000325.1	AATT01000326.1	AATT01000327.1	AATT01000328.1	AATT01000329.1	AATT01000330.1	AATT01000331.1	AATT01000332.1	AATT01000333.1	AATT01000334.1	AATT01000335.1	AATT01000338.1	AATT01000339.1	AATT01000340.1	AATT01000341.1	AATT01000342.1	AATT01000343.1	AATT01000344.1	AATT01000345.1	AATT01000346.1	AATT01000347.1	AATT01000348.1	DS022300.1	DS022301.1	DS022302.1	DS022303.1	DS022304.1	DS022305.1	DS022306.1	DS022307.1	DS022308.1	DS022309.1	DS022310.1	DS022311.1	DS022312.1	DS022313.1	DS022314.1	DS022315.1	DS022316.1	DS022317.1	DS022318.1	DS022319.1	DS022320.1	DS022321.1	DS022322.1	TF5a1_Bdvirus
CCB15	102.64	71.58	45.40	248.12	63.29	100.53	82.25	197.40	59.68	74.76	44.43	170.70	105.90	60.11	59.39	59.69	66.58	438.37	29.95	782.32	49.34	30.62	71.79	77.70	38.76	444.84	104.65	506.80	47.08	356.52	60.60	347.32	749.14	44.93	54.97	391.73	135.28	49.95	63.35	41.98	27.79	64.14	711.21	46.26	49.48	437.07	212.28	69.66	88.81	73.05	69.31	128.63	73.43	71.37	76.71	67.09	72.52	68.46	66.22	87.31	134.21	72.70	41.44	63.83	121.38	45.67	46.97	290.79	553.51	864.06	81.79
CH4_CH	96.61	74.80	69.36	383.72	70.56	88.99	101.18	192.27	83.41	74.46	77.37	248.12	67.76	96.48	85.96	56.04	98.24	197.24	34.04	363.71	41.06	66.28	78.04	81.30	77.30	271.62	98.49	996.74	90.22	453.65	67.50	867.47	963.16	39.44	84.78	538.34	134.02	23.46	117.68	104.32	43.28	90.08	686.27	65.53	52.16	1958.96	132.48	87.68	98.35	94.74	88.37	88.57	89.60	95.06	94.32	87.15	88.37	87.82	86.44	97.69	211.72	91.28	89.49	80.84	173.40	54.31	55.26	202.52	983.33	482.78	0.00
CHAL3_CH	110.02	84.50	66.41	227.03	79.69	90.90	89.09	168.43	78.50	65.92	83.66	155.12	83.99	65.19	88.31	53.98	89.95	97.00	44.42	408.34	74.92	60.66	60.00	88.82	68.76	184.24	107.37	250.26	85.23	317.77	51.09	857.79	439.43	39.03	57.98	184.61	128.23	48.08	66.88	76.23	50.21	81.54	623.65	68.23	53.67	1169.70	524.96	89.97	114.12	99.36	90.62	107.12	92.97	92.92	93.38	88.88	89.94	85.23	87.58	98.82	183.84	91.98	70.65	89.01	110.19	53.72	53.35	158.92	820.64	615.11	0.00
CJB4	28.99	18.28	33.07	115.14	36.85	45.50	38.50	102.44	43.65	41.05	40.54	107.22	22.48	45.96	43.04	32.75	37.85	132.73	14.63	357.66	34.33	54.10	35.31	38.41	21.01	144.72	40.20	302.75	30.39	215.29	35.63	305.56	248.38	20.44	41.35	266.81	43.18	18.43	34.89	30.75	31.70	43.71	199.48	50.34	12.40	363.65	133.65	30.87	33.69	32.91	31.10	31.32	24.07	23.52	25.10	20.96	40.09	21.67	29.99	25.64	75.73	22.44	23.33	21.41	57.71	19.24	34.28	118.96	357.25	365.54	0.00
CJB5-2	30.32	29.61	28.69	104.75	32.19	31.40	35.39	98.59	21.53	35.25	29.04	102.26	18.79	30.92	38.70	25.68	29.64	135.47	14.50	257.68	30.77	37.54	28.20	19.01	20.70	131.75	43.55	260.46	28.02	253.43	37.76	392.40	212.35	19.40	43.25	223.49	35.32	23.49	21.38	36.21	26.91	31.41	263.13	26.14	14.97	462.11	226.01	24.07	37.57	35.64	24.07	24.60	25.86	24.86	26.42	23.70	24.60	23.95	24.45	26.72	71.35	24.62	24.64	24.92	48.70	17.30	24.90	111.75	343.24	334.73	0.00
CJB7	40.31	23.24	40.54	80.81	34.39	33.06	45.43	78.28	31.78	30.83	29.87	74.47	33.72	36.45	40.21	25.82	32.97	85.77	11.82	434.31	37.67	41.04	30.58	27.18	30.67	87.92	44.77	138.70	29.40	132.61	47.37	207.93	123.32	21.90	54.69	123.85	39.36	30.11	24.25	50.49	30.20	35.12	215.88	32.56	27.75	246.77	150.36	27.28	39.81	35.47	27.82	41.56	28.70	37.12	29.27	27.00	27.58	32.06	33.28	30.07	61.51	41.15	27.86	39.32	44.39	19.12	27.70	68.57	336.36	442.12	0.00
CLFT001	87.62	74.55	59.79	150.36	85.62	81.93	63.56	229.00	75.71	56.38	51.48	139.20	50.26	62.27	71.01	55.11	54.80	128.23	38.03	715.05	73.19	46.62	51.08	60.39	53.79	262.74	168.64	401.05	60.22	347.73	51.87	253.51	331.15	55.72	92.07	324.46	102.76	31.07	70.26	101.07	38.65	71.25	415.70	44.56	52.88	503.84	279.38	64.92	92.86	84.80	64.94	75.50	68.16	70.67	70.91	55.27	66.51	65.04	65.21	82.64	131.69	77.47	43.29	64.80	99.76	39.91	84.45	227.60	344.34	554.12	0.00
CLFT021	16.30	12.55	12.54	31.30	15.59	15.94	16.08	27.56	12.68	12.08	12.28	26.98	10.97	11.03	15.68	11.63	12.98	24.70	11.96	197.82	13.67	13.64	11.93	21.58	10.26	31.72	19.88	45.54	13.09	38.05	10.14	57.26	40.54	10.79	15.74	39.52	16.36	10.44	13.38	12.69	9.86	12.21	91.93	11.81	8.71	57.57	60.97	13.11	19.91	19.30	13.03	13.02	13.56	13.40	14.21	12.89	13.05	13.47	12.91	14.64	22.43	13.36	13.01	13.16	18.64	9.32	10.76	31.24	149.39	208.34	0.00
CLFT023	45.66	35.79	34.89	85.02	42.87	43.45	44.99	74.11	36.20	32.84	36.57	69.45	30.67	27.33	38.55	32.38	34.50	80.07	32.84	624.98	38.08	29.16	34.07	31.85	27.58	82.70	55.17	133.97	35.22	132.92	38.48	195.03	122.28	33.51	37.58	102.72	44.91	25.22	35.12	33.86	27.45	32.06	188.53	30.12	15.94	277.08	299.20	37.42	56.50	55.23	37.49	37.39	38.29	38.40	39.06	37.04	37.84	37.94	36.88	40.57	63.10	38.29	38.24	37.75	48.77	24.80	29.95	93.57	303.73	698.17	0.00
CLFT024	143.42	100.42	111.00	274.87	127.46	132.88	125.17	259.33	95.17	105.18	132.24	233.39	79.80	92.70	138.94	113.98	101.81	199.87	51.80	1405.93	115.12	97.66	102.73	91.72	97.81	298.68	161.43	378.62	112.57	357.37	118.47	463.96	410.58	94.37	137.44	357.16	139.98	79.10	95.99	92.35	90.26	101.17	728.14	91.79	70.55	510.48	700.94	100.86	154.45	152.89	101.88	103.95	107.57	108.80	149.17	100.65	105.99	163.83	104.34	115.71	191.34	104.29	106.98	104.74	161.14	94.18	105.83	303.29	1103.28	1508.25	0.00
CLFT024-02	561.48	451.78	388.65	1131.83	530.28	665.16	494.43	1205.06	500.61	462.48	390.78	1033.23	365.48	319.15	459.94	504.34	433.79	931.86	219.74	10014.79	581.84	493.84	341.37	332.26	376.40	1298.26	916.70	1768.53	471.61	1584.57	357.03	2343.55	1432.17	440.51	579.61	1538.46	544.49	361.64	487.49	736.16	295.65	519.85	2941.56	409.51	296.67	2490.50	2367.97	477.91	700.29	589.58	470.47	476.68	485.81	473.19	661.37	464.54	472.36	677.50	449.29	526.78	807.44	478.98	460.88	402.32	641.08	353.96	424.11	1263.54	2968.65	8410.50	0.00
CLFT026	85.88	88.03	90.04	207.62	108.92	92.03	99.94	218.13	123.34	88.28	91.69	234.47	69.51	99.38	96.93	85.20	84.90	148.89	59.92	1329.89	95.81	109.01	96.34	83.61	98.99	246.46	128.03	323.02	85.85	244.04	113.54	291.84	402.81	72.44	110.08	327.85	113.81	105.65	84.47	114.00	70.69	91.83	608.64	108.28	33.82	382.35	351.10	83.94	121.69	124.01	85.01	90.65	92.07	123.74	121.24	82.99	97.92	92.54	92.28	98.98	171.78	100.46	92.24	79.86	126.55	77.82	74.01	236.86	892.55	1987.09	0.00
CLFT037	36.32	21.00	24.19	53.17	32.38	24.82	18.64	53.03	23.15	17.96	23.77	50.62	17.15	50.33	27.41	14.39	28.19	35.86	21.54	406.24	23.03	20.70	22.04	15.35	23.25	56.07	32.68	79.99	32.64	111.09	13.91	216.52	113.87	12.40	33.21	57.40	45.93	17.90	17.91	29.22	17.88	37.21	191.04	32.91	15.33	334.34	159.11	26.45	40.18	35.81	25.99	25.57	27.70	24.98	25.68	26.19	24.63	23.63	24.29	27.24	56.67	28.13	23.75	29.94	36.43	17.48	21.82	62.64	525.20	465.20	0.00
CLFT039	40.51	21.60	31.93	61.82	24.21	24.16	22.75	76.68	18.10	21.66	21.96	60.58	17.12	49.35	30.45	14.57	25.55	58.93	30.81	723.50	26.46	15.04	20.35	13.92	24.73	68.48	31.11	129.30	27.58	105.30	14.33	90.57	134.35	11.77	24.93	78.56	41.56	19.83	23.87	46.59	16.39	24.79	196.86	24.18	9.21	137.28	112.02	25.38	32.19	33.52	24.28	24.70	25.42	23.45	25.67	24.02	23.09	24.32	22.54	27.94	47.52	24.44	21.75	27.22	35.59	14.66	29.36	72.22	390.73	657.74	40.18
CLFT043	68.01	40.07	47.08	181.78	51.63	41.40	56.48	170.77	24.40	38.90	35.63	99.00	41.52	37.72	76.92	22.24	57.61	68.93	13.26	2840.06	39.11	28.41	36.03	28.58	49.50	230.76	50.56	201.17	50.47	508.51	44.30	554.00	388.65	20.07	52.79	252.97	63.32	26.04	32.67	62.73	24.23	54.69	736.55	53.52	33.45	629.96	772.58	53.56	71.53	52.10	50.36	50.20	52.27	49.35	48.86	50.41	48.21	50.72	44.88	53.04	156.16	52.92	43.86	49.81	92.70	23.64	31.35	312.56	861.99	2396.31	0.00
CLFT044	75.55	42.04	68.69	126.04	66.60	54.31	46.72	206.36	42.94	50.77	37.28	108.03	40.29	77.00	57.11	45.37	44.91	133.87	31.14	1517.10	69.45	39.01	47.91	23.87	47.81	202.11	72.85	315.33	59.65	218.30	44.39	188.46	290.35	45.80	73.74	202.03	78.25	27.76	61.91	112.29	35.47	67.64	492.62	42.89	38.79	310.77	211.18	51.61	77.21	70.35	50.52	52.69	51.67	49.71	72.37	50.46	50.17	67.63	48.00	56.75	96.98	52.26	46.63	47.15	79.96	35.22	66.19	128.35	477.21	1193.06	144.85
CLFT045	78.33	53.38	42.78	156.46	58.15	68.04	66.89	155.59	60.01	70.29	60.39	103.55	51.21	47.31	62.88	38.03	56.78	83.58	15.01	792.34	54.68	46.80	47.82	53.06	55.14	178.17	72.60	211.39	57.28	370.88	62.04	544.93	355.49	33.47	56.93	269.39	78.87	36.97	48.77	38.57	33.53	51.03	450.77	46.32	48.00	730.16	345.37	57.89	72.36	81.64	58.11	65.37	67.40	68.72	60.85	57.34	60.98	65.24	58.79	64.65	134.51	66.36	52.52	65.21	88.67	35.84	45.01	210.11	601.57	800.11	0.00
CLFT048	55.66	41.17	38.12	108.89	48.02	45.55	48.99	102.25	44.87	24.26	45.08	90.03	32.54	28.70	53.15	31.01	44.95	87.47	20.89	573.23	39.29	34.74	41.21	57.25	36.01	113.38	62.42	186.42	43.55	252.77	28.65	526.81	211.99	26.38	48.48	112.33	60.21	26.53	35.86	39.69	32.46	42.88	389.51	35.60	15.85	719.65	431.58	44.06	63.78	47.82	44.23	54.31	46.21	45.39	45.74	43.58	44.54	45.67	43.64	48.43	101.38	44.74	44.68	44.41	62.97	27.03	33.99	140.70	440.46	633.52	0.00
CLFT060	63.56	35.95	40.38	100.03	56.03	49.61	45.35	105.20	38.13	42.59	40.08	88.80	30.66	82.37	45.58	23.25	44.14	78.02	8.43	1012.48	37.73	38.83	43.87	26.75	42.31	110.38	57.23	137.29	56.83	200.92	9.42	387.67	203.03	22.00	46.25	115.20	81.55	25.76	41.55	36.87	28.28	61.04	319.93	63.55	25.76	520.71	264.70	42.76	63.27	47.44	42.24	43.11	44.74	42.30	42.35	42.57	40.34	40.63	41.74	47.75	96.20	47.84	41.07	49.07	59.69	26.92	29.47	109.85	826.26	1025.09	0.00
CLFT061	48.20	34.94	39.58	106.27	48.24	56.11	37.28	215.13	45.15	41.15	26.48	108.71	18.71	36.26	44.81	31.06	35.83	143.90	19.44	1053.57	42.38	29.98	35.60	30.93	36.28	149.81	73.39	448.55	39.47	247.47	34.12	252.05	298.41	31.59	58.08	298.08	62.35	19.43	53.66	70.23	26.81	50.58	333.36	32.49	29.46	400.90	213.05	35.80	49.34	49.34	35.84	46.93	38.10	37.20	41.52	34.94	37.67	36.13	36.29	43.62	87.28	37.84	30.84	32.41	66.96	22.80	51.49	199.67	252.39	952.18	47.33
CLFT062	61.24	24.79	32.05	80.45	69.85	43.78	36.74	77.20	26.55	60.59	35.62	69.03	19.76	170.62	57.91	21.31	31.84	72.96	18.47	2138.78	29.34	24.27	33.13	20.77	28.80	89.18	48.08	127.77	52.28	173.25	16.39	369.32	175.14	17.09	38.12	93.09	80.21	27.55	29.29	46.82	22.24	100.25	214.99	75.15	10.42	562.77	285.14	32.83	57.72	45.17	32.00	31.98	39.56	35.10	34.38	32.75	29.43	30.15	31.22	38.02	86.29	34.55	32.52	45.65	55.14	32.92	28.72	92.90	1261.63	1253.24	0.00
CLFT063	95.29	72.27	57.15	158.30	67.90	62.08	58.19	142.02	40.73	53.67	44.83	121.65	46.36	95.63	66.85	26.81	66.58	125.66	36.09	2471.89	47.07	42.66	47.54	32.68	68.01	179.28	81.33	246.47	74.22	327.05	42.17	716.49	290.77	29.75	58.02	162.49	96.46	39.57	44.95	77.76	26.06	69.57	557.15	74.19	7.74	1063.80	762.83	61.71	93.71	78.82	60.17	58.14	60.97	57.03	55.07	58.95	53.95	53.03	53.03	85.99	148.02	86.47	49.67	84.02	87.60	31.13	38.03	191.02	1094.48	2368.21	0.00
CLFT065	123.39	71.58	95.72	276.67	125.39	138.53	91.59	524.29	132.83	93.36	74.97	321.30	52.12	113.02	122.63	81.04	89.93	513.38	40.96	1526.26	109.34	82.87	83.78	58.27	98.95	374.49	166.38	1023.59	106.97	789.43	88.19	646.68	1104.51	60.85	150.80	574.38	146.87	53.69	121.43	154.91	73.54	121.15	691.81	88.64	86.73	1158.67	534.04	99.52	135.67	107.70	74.11	78.41	78.89	99.94	109.08	71.86	78.14	75.14	76.72	99.78	231.78	131.65	93.38	105.26	174.68	59.36	119.34	459.38	737.91	1508.63	0.00
CLFT067	109.20	74.59	85.42	225.33	102.52	114.60	77.20	379.65	91.69	82.94	63.56	234.96	38.54	91.03	94.98	77.34	69.53	323.72	39.28	1154.54	94.13	66.72	72.56	64.20	81.93	413.48	125.03	654.18	95.47	524.68	71.15	476.32	484.79	61.76	119.74	446.45	140.61	46.84	99.21	139.21	65.63	110.20	515.28	68.02	70.40	726.43	426.83	74.80	97.49	94.31	76.57	83.29	80.50	84.37	92.03	76.01	79.07	80.10	78.90	93.88	171.39	91.80	77.06	75.93	142.33	53.71	98.92	337.05	547.53	1056.33	49.67
CLFT068	75.65	45.85	60.88	149.64	63.17	75.69	53.14	288.39	67.67	61.53	46.09	172.39	37.66	59.96	62.68	52.97	48.97	238.87	25.68	717.87	63.58	47.30	50.63	44.54	54.49	194.55	83.71	484.12	65.34	358.56	56.27	301.87	514.05	40.88	90.84	293.66	101.42	31.19	71.89	101.75	43.54	82.55	376.34	45.95	44.36	539.71	260.60	51.26	58.33	59.74	54.28	54.72	54.51	54.23	62.02	50.80	54.57	53.37	54.54	64.25	117.73	58.47	53.30	49.13	98.03	37.46	69.48	226.57	430.16	548.86	0.00
CLFT070	85.27	52.15	66.51	151.75	77.23	88.27	55.66	248.79	66.48	65.02	48.61	157.30	42.32	60.16	70.97	54.65	51.63	209.55	32.17	1275.72	70.94	47.38	58.89	46.54	56.04	185.35	109.70	400.18	67.64	308.83	59.15	266.35	437.15	52.23	89.10	246.26	105.74	34.00	83.34	96.00	45.86	83.61	386.06	48.02	46.55	468.16	251.68	56.80	78.09	75.50	59.54	61.85	59.31	58.88	62.40	54.67	58.63	51.66	57.32	67.87	113.64	58.93	57.84	52.80	95.32	38.63	73.16	213.76	392.01	1004.74	0.00
CLFT071	78.16	47.89	63.10	184.89	75.44	88.26	53.01	344.66	63.39	58.51	44.84	188.60	26.47	59.58	73.14	53.59	51.77	277.69	29.05	930.60	66.15	47.60	49.99	42.31	54.29	415.82	106.63	632.58	71.07	488.37	52.08	379.43	341.77	45.09	92.57	450.74	89.84	32.77	71.97	105.62	46.69	78.42	424.79	45.92	45.48	617.24	401.42	52.67	79.19	72.17	52.83	55.73	55.91	55.97	71.06	48.72	55.41	64.22	53.61	65.87	137.70	56.35	51.65	48.37	114.27	41.03	73.51	313.29	417.82	776.99	0.00
CLFT073	54.84	25.91	36.05	88.10	55.72	36.80	38.14	79.94	38.78	45.57	33.96	82.05	21.04	163.21	46.47	18.92	35.92	79.30	22.26	864.37	26.40	25.82	28.44	19.97	31.08	92.83	44.68	152.41	48.45	212.47	10.02	441.35	178.87	16.45	39.20	118.89	60.62	23.62	24.72	43.00	20.14	66.18	326.50	71.27	20.63	796.50	261.34	32.89	53.91	45.51	32.14	31.86	36.40	32.53	32.36	32.03	30.02	29.16	30.44	35.82	101.58	33.90	31.30	39.04	54.92	25.67	27.56	121.99	1067.81	833.39	0.00
CLFT075	68.06	45.21	49.62	133.52	66.13	60.06	59.43	113.21	35.79	41.40	41.37	108.20	37.44	55.79	54.03	22.73	57.10	125.51	25.23	951.18	37.47	35.66	39.60	27.25	57.15	121.41	80.14	189.08	62.01	256.74	12.24	642.35	225.24	27.90	50.51	121.35	74.67	19.30	38.80	53.70	21.82	48.23	461.54	52.59	7.99	753.27	450.82	53.09	96.79	47.83	50.20	49.79	50.04	49.14	47.78	51.24	46.63	46.48	44.05	52.60	113.35	47.07	43.52	48.07	63.79	24.91	42.55	158.13	771.13	1262.57	0.00
CLFT078	84.83	63.57	43.22	162.26	76.60	75.97	79.24	146.14	59.92	45.23	63.23	118.33	58.31	96.03	88.03	38.46	84.59	111.73	46.79	1670.62	53.12	53.48	55.35	43.25	76.77	168.27	99.25	292.84	87.92	187.91	58.26	330.68	229.94	35.49	71.07	175.30	116.94	46.34	55.27	65.35	28.36	73.48	554.32	80.61	45.48	318.20	261.30	76.39	110.38	90.64	73.41	73.12	72.80	71.74	71.30	71.91	67.89	67.52	65.30	75.32	120.47	70.16	36.63	69.04	89.81	38.83	53.24	128.74	1069.76	1994.07	0.00
CLFT080	85.05	44.40	64.18	178.89	66.32	65.69	62.59	167.21	74.71	48.24	71.37	160.47	38.25	69.32	65.30	44.73	55.40	131.19	29.80	1646.32	51.18	68.44	40.97	51.25	50.66	193.21	85.18	299.04	86.43	415.61	39.64	955.86	362.67	34.09	89.42	168.73	107.25	52.20	80.46	63.88	32.99	54.00	621.55	57.79	40.36	999.86	446.79	53.54	83.60	80.76	53.49	54.70	57.43	54.38	80.24	78.15	55.20	55.41	57.99	62.29	160.65	54.96	56.50	56.09	100.74	47.27	61.70	188.42	1050.67	2170.78	0.02
CLFT082	47.55	19.80	30.06	69.83	37.42	27.78	27.47	66.09	19.70	31.64	30.09	60.58	24.48	56.47	39.09	12.99	28.13	52.76	17.54	1130.51	23.10	19.12	26.03	20.85	28.60	73.27	35.72	114.40	38.94	148.95	16.60	317.44	138.33	14.34	35.57	83.84	52.28	26.66	25.04	33.45	14.72	42.46	271.17	40.08	14.64	446.50	261.26	27.43	45.63	36.38	27.20	34.01	29.18	26.06	25.29	26.15	23.71	23.99	24.69	28.48	68.56	31.69	23.80	33.03	42.02	18.87	27.04	88.33	847.23	1398.02	0.04
CLFT085	75.16	36.93	45.90	151.48	49.41	43.67	35.59	168.60	35.82	47.55	39.39	101.90	31.09	123.84	48.94	24.77	45.82	102.92	32.86	1867.59	34.70	38.73	38.27	21.70	54.61	247.47	46.94	222.41	77.46	471.56	12.37	422.12	419.51	21.85	59.74	335.16	103.37	50.33	38.31	50.01	20.77	75.38	433.47	89.74	26.66	428.61	334.90	44.54	58.97	58.45	42.69	41.08	47.07	50.29	47.51	52.07	38.10	46.99	39.84	46.13	137.86	42.71	37.23	46.43	83.60	33.71	30.83	292.73	1072.60	2237.76	0.00
CLFT086	72.29	39.30	43.81	109.74	54.53	57.68	57.95	108.00	42.35	25.53	53.08	93.02	32.64	37.15	56.94	32.35	45.86	103.40	36.25	872.08	43.85	27.39	45.02	40.36	41.68	111.48	76.45	162.59	53.59	240.73	13.86	500.84	222.25	29.87	50.13	104.48	76.11	27.07	37.69	42.77	28.66	47.29	349.38	40.84	33.42	626.14	266.95	44.15	68.44	66.75	44.12	44.01	46.89	45.68	46.30	43.80	44.82	45.12	44.41	49.65	92.64	62.55	45.84	62.19	61.25	28.20	50.49	107.50	581.77	931.69	0.00
CLFT088	62.31	19.33	30.15	81.77	69.70	31.40	34.29	72.88	25.38	80.18	42.02	73.38	14.80	177.35	62.15	22.00	27.22	62.95	18.31	3436.89	23.70	26.11	29.05	19.87	22.17	70.18	38.75	107.00	38.92	125.34	28.32	209.77	144.98	12.97	53.51	80.63	60.12	43.63	27.69	35.41	37.53	90.73	181.34	65.52	17.40	323.92	151.99	27.26	50.48	40.99	27.21	27.30	34.40	27.08	28.38	26.67	26.47	27.34	30.50	33.03	70.68	28.44	30.23	41.75	55.45	33.28	35.50	73.78	1734.37	941.53	0.00
CLFT095	73.35	55.86	50.01	115.72	67.13	38.68	60.50	155.69	62.75	65.54	70.88	109.15	38.74	51.53	73.24	41.37	55.86	97.01	11.34	1417.51	44.52	51.38	49.05	46.17	41.78	207.80	78.44	168.36	62.38	306.98	38.97	273.73	363.47	34.07	45.07	244.30	87.01	31.21	51.64	66.80	26.63	55.06	379.17	53.01	35.79	300.49	237.79	52.95	76.25	72.75	58.90	52.67	55.01	53.95	67.49	51.90	53.16	53.05	53.19	67.19	115.53	54.26	53.51	53.96	74.22	41.28	52.23	179.39	653.25	1418.72	0.00
CLFT097	49.20	34.28	35.05	78.54	37.94	23.31	38.02	89.74	35.29	41.53	34.22	67.08	44.27	32.30	40.29	21.15	41.56	51.99	9.12	1224.26	25.07	25.37	30.68	34.28	35.90	133.12	51.42	101.64	39.75	163.04	20.91	197.22	208.41	20.63	25.90	119.89	54.75	25.41	35.51	51.67	19.10	38.78	303.69	36.10	24.26	161.95	172.35	41.96	57.93	42.04	39.77	52.57	40.63	39.30	38.65	39.57	39.20	37.14	36.80	43.50	70.64	39.12	36.37	36.66	46.61	20.44	24.75	100.08	452.18	1590.66	0.00
CLFT100	64.09	29.17	26.99	69.10	33.03	21.97	30.17	84.38	34.10	42.90	37.44	82.39	21.56	162.65	36.55	22.03	37.67	60.59	11.24	3192.11	20.11	25.77	26.68	19.27	23.07	108.66	34.53	170.79	34.64	234.30	18.08	392.64	218.19	14.53	36.46	121.82	57.91	27.30	24.17	50.78	21.28	101.84	202.95	70.65	14.83	688.35	230.63	35.61	42.95	42.10	27.38	33.85	33.01	28.79	43.79	33.32	32.92	25.60	27.15	39.42	86.15	37.02	35.72	44.55	49.16	38.71	20.97	110.99	1056.91	812.31	0.00
CLFT101	81.98	30.46	33.90	79.05	37.20	24.01	35.98	84.78	46.73	51.60	59.47	81.23	23.87	192.07	46.88	26.06	39.49	64.07	11.14	3946.33	29.13	31.35	32.08	34.93	24.36	107.95	44.27	154.62	46.14	206.67	23.65	377.27	201.69	17.02	47.93	140.52	67.32	40.75	32.28	72.06	34.11	138.77	220.31	78.33	53.11	616.39	144.48	40.30	50.38	46.85	37.63	37.44	46.32	38.61	40.74	37.45	37.46	35.79	38.07	44.15	83.68	41.50	40.91	52.57	53.02	42.56	22.13	92.34	1395.44	723.48	0.00
CLFT107	69.33	23.70	54.81	102.56	40.42	28.00	39.92	130.66	32.09	41.21	52.22	94.56	22.37	124.39	46.23	19.79	30.78	80.16	10.86	6023.04	27.58	25.12	37.69	22.23	30.48	175.89	40.62	166.78	39.85	305.15	20.10	247.83	322.07	18.40	67.57	241.84	53.68	31.53	17.05	65.57	26.76	77.55	321.45	57.22	20.40	462.11	232.90	32.02	52.57	49.02	31.28	32.01	36.97	34.01	33.26	31.38	31.30	30.67	42.31	38.54	94.72	38.26	33.02	44.56	64.69	27.72	33.43	166.66	1417.81	2396.88	0.00
CLFT111	54.26	39.27	34.86	134.05	47.18	37.68	42.60	118.69	40.80	23.60	47.76	80.42	35.24	23.73	59.45	29.68	43.81	58.13	19.23	1250.29	46.53	27.29	38.77	45.76	33.26	150.59	60.46	203.23	45.29	241.55	40.56	417.01	260.57	24.27	59.76	149.52	66.25	23.53	22.55	34.14	32.69	43.73	328.04	31.76	29.57	570.72	216.31	41.95	60.19	53.24	41.34	48.75	42.93	43.60	48.05	41.00	41.86	41.34	41.82	46.50	98.11	41.84	41.92	41.55	59.85	27.17	36.28	161.18	483.29	1320.02	0.09
CLFT114	51.16	22.94	24.50	100.69	31.75	29.47	33.07	115.83	32.20	36.02	30.25	72.09	22.50	122.81	29.22	12.91	29.33	84.41	11.11	1872.39	23.22	28.73	21.68	22.20	20.65	171.43	34.65	200.78	34.15	297.30	15.60	160.16	372.39	12.11	41.57	225.49	46.32	18.56	14.13	37.81	22.46	73.64	222.98	65.86	17.22	185.91	289.66	29.63	43.00	43.61	28.58	30.85	32.76	29.73	30.14	28.77	27.01	26.40	27.80	32.51	82.97	30.19	28.64	35.74	51.57	23.99	24.90	152.51	953.19	1103.11	0.00
CLFT120	58.52	21.33	23.83	63.60	28.47	32.98	27.78	67.07	25.08	38.65	34.02	56.42	19.35	135.21	33.36	16.20	28.55	47.53	24.95	1454.24	28.46	20.75	21.39	23.98	20.82	78.28	36.27	92.48	33.58	139.21	18.00	137.41	140.87	13.85	42.84	123.03	45.95	32.79	16.40	42.56	25.05	93.15	159.91	48.95	15.44	210.13	71.20	26.96	40.91	39.42	30.32	33.81	30.32	30.71	31.22	29.97	24.27	23.76	27.47	31.16	56.48	27.24	26.40	36.41	41.88	32.67	21.40	73.63	1137.98	1280.68	0.00
CLFT123	32.78	20.74	24.30	92.38	29.07	17.15	22.70	58.05	29.62	20.53	17.44	48.47	22.13	34.27	39.65	11.83	29.31	46.48	14.28	2580.51	23.65	27.30	12.88	14.97	19.24	70.61	26.81	100.36	26.79	166.05	17.22	349.17	126.98	6.63	34.10	65.99	32.78	25.82	12.69	35.05	12.83	31.76	267.40	52.30	14.04	545.41	389.91	29.53	37.83	26.71	27.83	27.22	28.30	25.80	26.99	27.40	25.56	25.02	24.30	28.07	79.82	26.22	13.37	25.40	39.97	14.47	18.13	95.05	415.25	4162.58	0.00
CLFT126	48.30	25.96	28.65	96.49	33.68	36.59	44.28	69.17	29.07	22.44	21.49	68.54	27.74	25.73	45.78	15.52	35.58	67.29	30.92	1688.03	39.85	20.89	19.91	19.95	25.57	71.50	45.76	112.74	30.11	164.80	21.89	273.60	160.39	11.80	23.77	81.20	40.86	20.23	16.75	36.46	19.13	31.80	313.50	29.95	20.57	421.13	242.93	35.47	50.15	42.80	34.35	33.86	34.19	32.67	32.25	33.34	33.12	32.25	30.44	34.99	71.03	33.64	30.01	30.70	42.60	13.64	26.05	84.16	416.65	1675.67	0.00
